school,type,students,capacity,use,year,lng,lat
Ainslie School,P,397,475,0.835789474,2011,149.1397771,-35.27367417
Ainslie School,P,389,475,0.818947368,2012,149.1397771,-35.27367417
Ainslie School,P,370,475,0.778947368,2013,149.1397771,-35.27367417
Ainslie School,P,353,475,0.743157895,2014,149.1397771,-35.27367417
Ainslie School,P,366,475,0.770526316,2015,149.1397771,-35.27367417
Ainslie School,P,355,550,0.645454545,2016,149.1397771,-35.27367417
Ainslie School,P,334,550,0.607272727,2017,149.1397771,-35.27367417
Ainslie School,P,360,550,0.654545455,2018,149.1397771,-35.27367417
Ainslie School,P,357,550,0.649090909,2019,149.1397771,-35.27367417
Ainslie School,P,352,550,0.64,2020,149.1397771,-35.27367417
Alfred Deakin High School,H,740,969,0.763673891,2011,149.0946386,-35.32425828
Alfred Deakin High School,H,755,969,0.779153767,2012,149.0946386,-35.32425828
Alfred Deakin High School,H,775,969,0.799793602,2013,149.0946386,-35.32425828
Alfred Deakin High School,H,783,969,0.808049536,2014,149.0946386,-35.32425828
Alfred Deakin High School,H,787,969,0.812177503,2015,149.0946386,-35.32425828
Alfred Deakin High School,H,815,966,0.8436853,2016,149.0946386,-35.32425828
Alfred Deakin High School,H,887,966,0.918219462,2017,149.0946386,-35.32425828
Alfred Deakin High School,H,877,936,0.936965812,2018,149.0946386,-35.32425828
Alfred Deakin High School,H,862,936,0.920940171,2019,149.0946386,-35.32425828
Alfred Deakin High School,H,877,974,0.900410678,2020,149.0946386,-35.32425828
Amaroo School,PH,1252,1578,0.793409379,2011,149.128574,-35.16501926
Amaroo School,PH,1388,1578,0.879594423,2012,149.128574,-35.16501926
Amaroo School,PH,1476,1578,0.935361217,2013,149.128574,-35.16501926
Amaroo School,PH,1529,1722,0.887921022,2014,149.128574,-35.16501926
Amaroo School,PH,1575,1766,0.89184598,2015,149.128574,-35.16501926
Amaroo School,PH,1564,1809,0.864566059,2016,149.128574,-35.16501926
Amaroo School,PH,1675,1872,0.894764957,2017,149.128574,-35.16501926
Amaroo School,PH,1832,2062,0.888457808,2018,149.128574,-35.16501926
Amaroo School,PH,1859,2168,0.857472325,2019,149.128574,-35.16501926
Amaroo School,PH,1835,2119,0.865974516,2020,149.128574,-35.16501926
Aranda Primary School,P,416,550,0.756363636,2011,149.0803315,-35.25534054
Aranda Primary School,P,451,550,0.82,2012,149.0803315,-35.25534054
Aranda Primary School,P,453,550,0.823636364,2013,149.0803315,-35.25534054
Aranda Primary School,P,463,550,0.841818182,2014,149.0803315,-35.25534054
Aranda Primary School,P,486,550,0.883636364,2015,149.0803315,-35.25534054
Aranda Primary School,P,522,625,0.8352,2016,149.0803315,-35.25534054
Aranda Primary School,P,555,625,0.888,2017,149.0803315,-35.25534054
Aranda Primary School,P,558,625,0.8928,2018,149.0803315,-35.25534054
Aranda Primary School,P,543,625,0.8688,2019,149.0803315,-35.25534054
Aranda Primary School,P,567,625,0.9072,2020,149.0803315,-35.25534054
Arawang Primary School,P,335,450,0.744444444,2011,149.059176,-35.35472761
Arawang Primary School,P,298,450,0.662222222,2012,149.059176,-35.35472761
Arawang Primary School,P,345,450,0.766666667,2013,149.059176,-35.35472761
Arawang Primary School,P,368,450,0.817777778,2014,149.059176,-35.35472761
Arawang Primary School,P,393,450,0.873333333,2015,149.059176,-35.35472761
Arawang Primary School,P,438,525,0.834285714,2016,149.059176,-35.35472761
Arawang Primary School,P,432,525,0.822857143,2017,149.059176,-35.35472761
Arawang Primary School,P,453,550,0.823636364,2018,149.059176,-35.35472761
Arawang Primary School,P,468,550,0.850909091,2019,149.059176,-35.35472761
Arawang Primary School,P,490,550,0.890909091,2020,149.059176,-35.35472761
Belconnen High School,H,461,1007,0.457795432,2011,149.0389182,-35.24712742
Belconnen High School,H,402,1007,0.399205561,2012,149.0389182,-35.24712742
Belconnen High School,H,384,1007,0.381330685,2013,149.0389182,-35.24712742
Belconnen High School,H,373,988,0.377530364,2014,149.0389182,-35.24712742
