school,code,coordinates
Black Mountain School,74,"149.11233590252579,-35.264642592657204"
Cranleigh School,75,"149.02881989895596,-35.22512294018343"
Isabella Plains Early Childhood School,77,"149.08917464931233,-35.42852313954393"
Lyons Early Childhood School,78,"149.07664811031128,-35.341850588107874"
Malkara School,79,"149.09429073645538,-35.33839729352121"
Narrabundah Early Childhood School,80,"149.15081019486306,-35.32897670716323"
O'Connor Cooperative School,81,"149.12013225823077,-35.261130399452874"
Southern Cross Early Childhood School,82,"149.03860109443622,-35.23283151269111"
The Woden School,83,"149.09261949660575,-35.326365847433074"
Telopea Park School P-6,84,"149.13367627911884,-35.313710392259225"
Franklin Early Childhood School,305,"149.1453661631313,-35.19626590957319"
Canberra College,130,"149.08923031919846,-35.34041566800892"
Dickson College,131,"149.15365772877587,-35.249286035123056"
Erindale College,132,"149.09655816944965,-35.403055510604915"
Gungahlin College,133,"149.1310117870697,-35.18540762710792"
Hawker College,134,"149.03265226903008,-35.245874176648655"
Lake Tuggeranong College,135,"149.06825508488643,-35.41376643317522"
Narrabundah College,136,"149.14720131183,-35.33620941590293"
University Of Canberra Senior Secondary College Lake Ginninderra,137,"149.07374944837684,-35.23911265982407"
Melba Copland Secondary School 11-12,149,"149.058879889369,-35.21241228139905"
Campbell High School,5,"149.1477743985596,-35.27807645292289"
Canberra High School,6,"149.07444193667115,-35.251556680921304"
Caroline Chisholm School,7,"149.12154873464604,-35.41780685135872"
Gold Creek School 7-10,8,"149.09385832437692,-35.17960549291441"
Harrison School 7-10,9,"149.15175342817597,-35.199219662134944"
Kingsford Smith School 7-10,10,"149.02093797826555,-35.22785936791975"
Lanyon High School,11,"149.09524983930015,-35.460474336334265"
Lyneham High School,12,"149.13054632641507,-35.2524723318926"
Melba Copland Secondary School 7-10,13,"149.0489415312908,-35.21411903395869"
Melrose High School,14,"149.08857483107224,-35.3627375532482"
Mount Stromlo High School,15,"149.05480800103587,-35.35497671295661"
Namadgi School 7-10,16,"149.06744556619398,-35.392363011995364"
Telopea Park School 7-10,17,"149.13367262057986,-35.313710456842166"
University Of Canberra High School Kaleen,18,"149.10114340277946,-35.225338267522694"
Wanniassa School 7-10,19,"149.0858232112289,-35.39489414227505"
Alfred Deakin High School,1,"149.09463861703594,-35.32425828364933"
Amaroo School 7-10,2,"149.12857363873835,-35.165018982988954"
Belconnen High School,3,"149.0389181600297,-35.24712742145643"
Calwell High School,4,"149.11761730757746,-35.44082098957615"
Ainslie School,20,"149.13977705262047,-35.27367416730027"
Florey Primary School,36,"149.05288600206225,-35.22634244392469"
Forrest Primary School,37,"149.125720987164,-35.314520656079644"
Fraser Primary School,38,"149.0431388074995,-35.19198513126527"
Harrison School P-6,45,"149.15175669341446,-35.1992182491337"
Hawker Primary School,46,"149.0347171043434,-35.24989769545829"
Hughes Primary School,47,"149.09289092218953,-35.33152296443489"
Garran Primary School,39,"149.10305919047457,-35.343908604673146"
Gilmore Primary School,40,"149.13512911877996,-35.41908292830279"
Giralang Primary School,41,"149.09488522968905,-35.2137192699954"
Gold Creek School P-6,42,"149.10059670660598,-35.18129193020252"
Gordon Primary School,43,"149.08664538324751,-35.45644802015638"
Gowrie Primary School,44,"149.1107844053401,-35.413241711016916"
Amaroo School,21,"149.12857401927317,-35.16501926207796"
Aranda Primary School,22,"149.08033149116778,-35.25534054251806"
Arawang Primary School,23,"149.0591760227994,-35.35472760767229"
Bonython Primary School,24,"149.0825667468571,-35.43073887750293"
Calwell Primary School,25,"149.10855622943197,-35.43862295264126"
Campbell Primary School,26,"149.15599797516228,-35.29011671219557"
Chapman Primary School,27,"149.0427705663713,-35.35652888728406"
Charles Conder Primary School,28,"149.09833529909028,-35.464683870658845"
